,Comment,Class,preprocessing_result
0,this song is racist,0,song racist
1,and how many subscribers compared to her over a million,1,many subscriber compared million
2,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!,1,hi check awesome cover say think
3,well done shakira,0,well done shakira
4,:D subscribe to me for daily vines,1,subscribe daily vine
5,"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",1,part holy mary pray u holy mother god pray u holy virgin virgin pray u mother christ pray u mother divine grace pray u mother pure pray u mother chaste pray u mother inviolate pray u mother undefiled pray u mother amiable pray u mother admirable pray u mother good counsel pray u mother creator pray u mother redeemer pray u
6," I really can&#39;t comprehend Miley Cyrus , she actually is a high profile and she tapes herself banging Today a video was leeched with her sucking and fucking The video has been posted at the celebrity website under :  miley-celeb-news.co.uk ",1,really cant comprehend miley cyrus actually high profile tape banging today video leeched sucking fucking video posted celebrity website mileycelebnewscouk
7,Nice song ^_^,0,nice song
8,This makes me miss the world cup,0,make miss world cup
9,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1,facebook lame check swagfriends com make thousand cool new friend everyday join new movement
10,"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks ",1,hope everyone good spirit im hard working student who also passionate singer look foward day make music share ive cover check channel ive done cover miley cyrus imagine dragon lana del rey drake macklemore pink countless others subscribe want goal isnt become famous inspire fyi isnt spamming everyone right freedom speech thanks
11,:),0,
12,She is good,0,good
13,Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,1,subscribe youtube channel suscribite mi canal de youtube whatuknow
14,beautiful,0,beautiful
15,Earn money for being online with 0 efforts!    bit.ly\14gKvDo,1,earn money online effort bitlygkvdo
16,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1,check new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtape
17,"Hello everyone, It Is not my intention to spam and am truly sorry If anyone Is annoyed by this but just please hear me out.  I am a rapper, singer, music producer and a song writer and have been making music for a while now, eight years to be exact.  I enjoy making all types of music that anyone can listen to, doesn&#39;t have me talking about killing anyone and most importantly, focuses on the quality of the music.  Please check out my page, It&#39;s only a click away.  Thank you and have a nice day :)",1,hello everyone intention spam truly sorry anyone annoyed please hear rapper singer music producer song writer making music eight year exact enjoy making type music anyone listen doesnt talking killing anyone importantly focus quality music please check page click away thank nice day
18,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1,facebook lame check swagfriends com make thousand cool new friend everyday join new movement
19,"Could you please check out my covers on my channel? I do covers like Adele, Kodaline, Imagine Dragons...and more. Please if you could spare a few minutes,  could you have a listen to one or two of my covers , Feel free to comment and subscribe :) Thank you! ",1,could please check cover channel cover like adele kodaline imagine dragonsand please could spare minute could listen one two cover feel free comment subscribe thank
20,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1,hello everyone know probably pas kind comment still reading thanks ’ money advertisement chance getting heard nothing live small town come spam sorry ’ instrumental songwriter columbus mississippi please go channel check original music would highly appreciated thumb comment music heard thank adam whitney
21,her voice is so wow!,0,voice wow
22,"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...",1,hi heard dribbleproshot search google web site watch smart free video featuring best way significantly boost football aka soccer skill time turned nick much better football soccer playerhis team mate definitily amazed hope help also
23,Meet The Richest Online Marketer  NOW CLICK : bit.ly/make-money-without-adroid,1,meet richest online marketer click bitlymakemoneywithoutadroid
24,Shakira :-*,0,shakira
25,wow,0,wow
